LABELS
#use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#NODE_ID,LABEL

#Examples
#define a name for an internal node
#9031|9606,Metazoa

#change the label for leaf node 9606
#9606,Homo sapiens
002632345v1_00345,002632345v1_00345 (Candidatus Scalindua rubra Ru_enrich_A1)
002443295v1_02437,002443295v1_02437 (Candidatus Scalindua japonica )
001828515v1_00728,001828515v1_00728 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_40_12 )
001828595v1_01068,001828595v1_01068 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_40_19 )
004282745v1_03209,004282745v1_03209 (Candidatus Scalindua sp. SCAELEC01 SCAELEC01)
008501815v1_01973,008501815v1_01973 (Candidatus Scalindua sp. amx)
004351875v1_03706,004351875v1_03706 (Candidatus Scalindua sp. AMX11 AMX11)
001824525v1_00394,001824525v1_00394 (Planctomycetes bacterium GWA2_50_13 )
003545295v1_00250,003545295v1_00250 (Planctomycetia bacterium UBA10217)
001828385v1_01706,001828385v1_01706 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_50_42 )
001828605v1_00795,001828605v1_00795 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_50_35 )
001830275v1_00245,001830275v1_00245 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_51_37 )
001828565v1_01360,001828565v1_01360 (Planctomycetes bacterium RIFCSPLOWO2_02_FULL_50_16 )
008636105v1_01874,008636105v1_01874 (Candidatus Scalindua sp. MohnsGC08_192)
001828415v1_00079,001828415v1_00079 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_52_58 )
001828545v1_01249,001828545v1_01249 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_52_36 )
001824525v1_00106,001824525v1_00106 (Planctomycetes bacterium GWA2_50_13 )
001830275v1_00879,001830275v1_00879 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_51_37 )
001828565v1_01654,001828565v1_01654 (Planctomycetes bacterium RIFCSPLOWO2_02_FULL_50_16 )
001828385v1_01002,001828385v1_01002 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_50_42 )
003545295v1_01399,003545295v1_01399 (Planctomycetia bacterium UBA10217)
001828605v1_01843,001828605v1_01843 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_50_35 )
001828545v1_00769,001828545v1_00769 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_52_36 )
001828545v1_00770,001828545v1_00770 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_52_36 )
000296795v1_03359,000296795v1_03359 (Candidatus Jettenia caeni )
900696475v1_00177,900696475v1_00177 (uncultured Candidatus Brocadia sp. AMX3.fa.gz)
008363445v1_00573,008363445v1_00573 (Candidatus Jettenia sp. AMX1 AMX1)
005524015v1_02744,005524015v1_02744 (Candidatus Jettenia ecosi J2)
000315095v1_01242,000315095v1_01242 (Candidatus Kuenenia stuttgartiensis enrichment culture clone CH1 )
900232175v1_00348,900232175v1_00348 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
007618145v1_00921,007618145v1_00921 (Candidatus Kuenenia stuttgartiensis BL10)
900696675v1_01518,900696675v1_01518 (uncultured Candidatus Kuenenia sp. AMX1.fa.gz)
002632395v1_03030,002632395v1_03030 (Candidatus Kuenenia stuttgartiensis Ru_enrich_A3)
900232105v1_03040,900232105v1_03040 (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)
900232175v1_05750,900232175v1_05750 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
002418245v1_01667,002418245v1_01667 (Candidatus Kuenenia stuttgartiensis UBA5795)
000315115v1_01291,000315115v1_01291 (Candidatus Kuenenia stuttgartiensis enrichment culture clone RU1 )
001828295v1_01595,001828295v1_01595 (Planctomycetes bacterium RBG_16_41_13 )
000949635v1_01469,000949635v1_01469 (Candidatus Brocadia sinica JPN1 )
003577215v1_00535,003577215v1_00535 (Candidatus Brocadia sp. AMX1)
008363395v1_03692,008363395v1_03692 (Candidatus Brocadia sp. AMX2 AMX2)
001567345v1_02185,001567345v1_02185 (Candidatus Brocadia sinica OLB1)
000987375v1_00666,000987375v1_00666 (Candidatus Brocadia fulgida RU1)
003577195v1_00047,003577195v1_00047 (Candidatus Brocadia sp. AMX2)
002050315v1_02451,002050315v1_02451 (Candidatus Brocadia sp. UTAMX2 UTAMX2)
002009475v1_03831,002009475v1_03831 (Candidatus Brocadia caroliniensis 26THWARD)
007618135v1_02644,007618135v1_02644 (Candidatus Brocadia sp. WS118 WS118)
008933285v1_01158,008933285v1_01158 (Candidatus Brocadia sp. SB37)
001753675v2_01559,001753675v2_01559 (Candidatus Brocadia sapporoensis )
002848945v1_01788,002848945v1_01788 (Candidatus Brocadia sp. R4W10303 R4W10303)
007618155v1_01379,007618155v1_01379 (Candidatus Brocadia sp. BL1 BL1)
002050325v1_01249,002050325v1_01249 (Candidatus Brocadia sp. UTAMX1 UTAMX1)
004282735v1_02201,004282735v1_02201 (Candidatus Brocadia sp. BROELEC01 BROELEC01)
007860005v1_01271,007860005v1_01271 (Candidatus Brocadiaceae bacterium B188 )
001824485v1_01802,001824485v1_01802 (Planctomycetes bacterium GWA2_39_15 )
001825655v1_00880,001825655v1_00880 (Planctomycetes bacterium GWF2_39_10 )
001825635v1_01081,001825635v1_01081 (Planctomycetes bacterium GWC2_39_26 )
001828365v1_00679,001828365v1_00679 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_38_41 )
001830285v1_01592,001830285v1_01592 (Planctomycetes bacterium RIFCSPLOWO2_12_38_17 )
001828435v1_01499,001828435v1_01499 (Planctomycetes bacterium RIFCSPHIGHO2_12_39_6 )
001828665v1_00385,001828665v1_00385 (Planctomycetes bacterium RIFOXYD12_FULL_42_12 )
001828685v1_00123,001828685v1_00123 (Planctomycetes bacterium RIFOXYD2_FULL_41_16 )
900696655v1_01363,900696655v1_01363 (uncultured Planctomycetales bacterium AMX2.fa.gz)
001723765v1_01469,001723765v1_01469 (Candidatus Scalindua rubra BSI-1)
008636105v1_02445,008636105v1_02445 (Candidatus Scalindua sp. MohnsGC08_192)
000786775v1_01605,000786775v1_01605 (Candidatus Scalindua brodae RU1)
002632345v1_03607,002632345v1_03607 (Candidatus Scalindua rubra Ru_enrich_A1)
001828515v1_02203,001828515v1_02203 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_40_12 )
001828595v1_00555,001828595v1_00555 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_40_19 )
008636105v1_01249,008636105v1_01249 (Candidatus Scalindua sp. MohnsGC08_192)
002443295v1_04125,002443295v1_04125 (Candidatus Scalindua japonica )
004282745v1_00681,004282745v1_00681 (Candidatus Scalindua sp. SCAELEC01 SCAELEC01)
008501815v1_02984,008501815v1_02984 (Candidatus Scalindua sp. amx)
004351875v1_00863,004351875v1_00863 (Candidatus Scalindua sp. AMX11 AMX11)
001723765v1_01058,001723765v1_01058 (Candidatus Scalindua rubra BSI-1)
004282745v1_00675,004282745v1_00675 (Candidatus Scalindua sp. SCAELEC01 SCAELEC01)
008501815v1_02990,008501815v1_02990 (Candidatus Scalindua sp. amx)
004351875v1_00857,004351875v1_00857 (Candidatus Scalindua sp. AMX11 AMX11)
000296795v1_00435,000296795v1_00435 (Candidatus Jettenia caeni )
900696475v1_03265,900696475v1_03265 (uncultured Candidatus Brocadia sp. AMX3.fa.gz)
008363445v1_02071,008363445v1_02071 (Candidatus Jettenia sp. AMX1 AMX1)
005524015v1_03309,005524015v1_03309 (Candidatus Jettenia ecosi J2)
000949635v1_02664,000949635v1_02664 (Candidatus Brocadia sinica JPN1 )
001567345v1_00149,001567345v1_00149 (Candidatus Brocadia sinica OLB1)
003577215v1_01348,003577215v1_01348 (Candidatus Brocadia sp. AMX1)
008363395v1_00564,008363395v1_00564 (Candidatus Brocadia sp. AMX2 AMX2)
000987375v1_00016,000987375v1_00016 (Candidatus Brocadia fulgida RU1)
003577195v1_01222,003577195v1_01222 (Candidatus Brocadia sp. AMX2)
002050315v1_00922,002050315v1_00922 (Candidatus Brocadia sp. UTAMX2 UTAMX2)
002009475v1_01235,002009475v1_01235 (Candidatus Brocadia caroliniensis 26THWARD)
008933285v1_01417,008933285v1_01417 (Candidatus Brocadia sp. SB37)
007618135v1_01364,007618135v1_01364 (Candidatus Brocadia sp. WS118 WS118)
001753675v2_01447,001753675v2_01447 (Candidatus Brocadia sapporoensis )
007618155v1_00377,007618155v1_00377 (Candidatus Brocadia sp. BL1 BL1)
002848945v1_02845,002848945v1_02845 (Candidatus Brocadia sp. R4W10303 R4W10303)
002050325v1_01016,002050325v1_01016 (Candidatus Brocadia sp. UTAMX1 UTAMX1)
007860005v1_02673,007860005v1_02673 (Candidatus Brocadiaceae bacterium B188 )
004282735v1_00533,004282735v1_00533 (Candidatus Brocadia sp. BROELEC01 BROELEC01)
000315095v1_00224,000315095v1_00224 (Candidatus Kuenenia stuttgartiensis enrichment culture clone CH1 )
900232175v1_02048,900232175v1_02048 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232105v1_02670,900232105v1_02670 (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)
002418245v1_00928,002418245v1_00928 (Candidatus Kuenenia stuttgartiensis UBA5795)
900696675v1_02549,900696675v1_02549 (uncultured Candidatus Kuenenia sp. AMX1.fa.gz)
900232175v1_03320,900232175v1_03320 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
007618145v1_01557,007618145v1_01557 (Candidatus Kuenenia stuttgartiensis BL10)
002632395v1_00492,002632395v1_00492 (Candidatus Kuenenia stuttgartiensis Ru_enrich_A3)
000315115v1_02289,000315115v1_02289 (Candidatus Kuenenia stuttgartiensis enrichment culture clone RU1 )
001828295v1_02191,001828295v1_02191 (Planctomycetes bacterium RBG_16_41_13 )
001825595v1_00279,001825595v1_00279 (Planctomycetes bacterium GWB2_41_19 )
001828645v1_00158,001828645v1_00158 (Planctomycetes bacterium RIFOXYC2_FULL_41_27 )
001828685v1_00369,001828685v1_00369 (Planctomycetes bacterium RIFOXYD2_FULL_41_16 )
001828665v1_02167,001828665v1_02167 (Planctomycetes bacterium RIFOXYD12_FULL_42_12 )
001828635v1_01350,001828635v1_01350 (Planctomycetes bacterium RIFOXYB12_FULL_42_10 )
001828535v1_01395,001828535v1_01395 (Planctomycetes bacterium RIFCSPHIGHO2_12_42_15 )
001830285v1_01264,001830285v1_01264 (Planctomycetes bacterium RIFCSPLOWO2_12_38_17 )
900696655v1_02361,900696655v1_02361 (uncultured Planctomycetales bacterium AMX2.fa.gz)
001824525v1_00797,001824525v1_00797 (Planctomycetes bacterium GWA2_50_13 )
001828385v1_01648,001828385v1_01648 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_50_42 )
001828565v1_00458,001828565v1_00458 (Planctomycetes bacterium RIFCSPLOWO2_02_FULL_50_16 )
001828605v1_00437,001828605v1_00437 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_50_35 )
001830275v1_00473,001830275v1_00473 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_51_37 )
003545295v1_01180,003545295v1_01180 (Planctomycetia bacterium UBA10217)
001828415v1_00878,001828415v1_00878 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_52_58 )
000296795v1_00432,000296795v1_00432 (Candidatus Jettenia caeni )
000296795v1_03534,000296795v1_03534 (Candidatus Jettenia caeni )
900696475v1_02131,900696475v1_02131 (uncultured Candidatus Brocadia sp. AMX3.fa.gz)
900696655v1_02364,900696655v1_02364 (uncultured Planctomycetales bacterium AMX2.fa.gz)
000949635v1_02338,000949635v1_02338 (Candidatus Brocadia sinica JPN1 )
008363395v1_00671,008363395v1_00671 (Candidatus Brocadia sp. AMX2 AMX2)
003577215v1_03611,003577215v1_03611 (Candidatus Brocadia sp. AMX1)
000949635v1_02667,000949635v1_02667 (Candidatus Brocadia sinica JPN1 )
001567345v1_00152,001567345v1_00152 (Candidatus Brocadia sinica OLB1)
000987375v1_01552,000987375v1_01552 (Candidatus Brocadia fulgida RU1)
002009475v1_00243,002009475v1_00243 (Candidatus Brocadia caroliniensis 26THWARD)
007618135v1_02536,007618135v1_02536 (Candidatus Brocadia sp. WS118 WS118)
008933285v1_01762,008933285v1_01762 (Candidatus Brocadia sp. SB37)
002009475v1_00721,002009475v1_00721 (Candidatus Brocadia caroliniensis 26THWARD)
001828635v1_00790,001828635v1_00790 (Planctomycetes bacterium RIFOXYB12_FULL_42_10 )
002050325v1_00714,002050325v1_00714 (Candidatus Brocadia sp. UTAMX1 UTAMX1)
002050325v1_01013,002050325v1_01013 (Candidatus Brocadia sp. UTAMX1 UTAMX1)
004282735v1_00536,004282735v1_00536 (Candidatus Brocadia sp. BROELEC01 BROELEC01)
007860005v1_02670,007860005v1_02670 (Candidatus Brocadiaceae bacterium B188 )
004282735v1_00950,004282735v1_00950 (Candidatus Brocadia sp. BROELEC01 BROELEC01)
007860005v1_02842,007860005v1_02842 (Candidatus Brocadiaceae bacterium B188 )
001824595v1_00419,001824595v1_00419 (Planctomycetes bacterium GWE2_41_14 )
001825595v1_00276,001825595v1_00276 (Planctomycetes bacterium GWB2_41_19 )
001828365v1_00006,001828365v1_00006 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_38_41 )
001828685v1_00372,001828685v1_00372 (Planctomycetes bacterium RIFOXYD2_FULL_41_16 )
001828645v1_01245,001828645v1_01245 (Planctomycetes bacterium RIFOXYC2_FULL_41_27 )
001828535v1_00528,001828535v1_00528 (Planctomycetes bacterium RIFCSPHIGHO2_12_42_15 )
001830285v1_01268,001830285v1_01268 (Planctomycetes bacterium RIFCSPLOWO2_12_38_17 )
003577215v1_01351,003577215v1_01351 (Candidatus Brocadia sp. AMX1)
008363395v1_00561,008363395v1_00561 (Candidatus Brocadia sp. AMX2 AMX2)
000315095v1_00250,000315095v1_00250 (Candidatus Kuenenia stuttgartiensis enrichment culture clone CH1 )
900232175v1_06678,900232175v1_06678 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232175v1_05720,900232175v1_05720 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900696675v1_00461,900696675v1_00461 (uncultured Candidatus Kuenenia sp. AMX1.fa.gz)
900232105v1_02369,900232105v1_02369 (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)
002418245v1_00821,002418245v1_00821 (Candidatus Kuenenia stuttgartiensis UBA5795)
900232175v1_00287,900232175v1_00287 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232175v1_00663,900232175v1_00663 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232175v1_00430,900232175v1_00430 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232175v1_00432,900232175v1_00432 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232175v1_00664,900232175v1_00664 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232175v1_03153,900232175v1_03153 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
007618145v1_01686,007618145v1_01686 (Candidatus Kuenenia stuttgartiensis BL10)
900232105v1_01220,900232105v1_01220 (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)
900232175v1_01767,900232175v1_01767 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232175v1_07023,900232175v1_07023 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
001828295v1_02168,001828295v1_02168 (Planctomycetes bacterium RBG_16_41_13 )
900232175v1_00288,900232175v1_00288 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
000786775v1_01598,000786775v1_01598 (Candidatus Scalindua brodae RU1)
002632345v1_03602,002632345v1_03602 (Candidatus Scalindua rubra Ru_enrich_A1)
000786775v1_02957,000786775v1_02957 (Candidatus Scalindua brodae RU1)
007859995v1_00485,007859995v1_00485 (Candidatus Brocadiaceae bacterium S225 )
002632345v1_03663,002632345v1_03663 (Candidatus Scalindua rubra Ru_enrich_A1)
003230645v1_01408,003230645v1_01408 (Planctomycetes bacterium SZUA-167)
001828515v1_02199,001828515v1_02199 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_40_12 )
001828595v1_00009,001828595v1_00009 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_40_19 )
002443295v1_03909,002443295v1_03909 (Candidatus Scalindua japonica )
002443295v1_04130,002443295v1_04130 (Candidatus Scalindua japonica )
004282745v1_03014,004282745v1_03014 (Candidatus Scalindua sp. SCAELEC01 SCAELEC01)
004351875v1_01686,004351875v1_01686 (Candidatus Scalindua sp. AMX11 AMX11)
001723765v1_00669,001723765v1_00669 (Candidatus Scalindua rubra BSI-1)
008636105v1_01259,008636105v1_01259 (Candidatus Scalindua sp. MohnsGC08_192)
001824525v1_00801,001824525v1_00801 (Planctomycetes bacterium GWA2_50_13 )
001830275v1_00469,001830275v1_00469 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_51_37 )
001828565v1_00454,001828565v1_00454 (Planctomycetes bacterium RIFCSPLOWO2_02_FULL_50_16 )
003545295v1_01175,003545295v1_01175 (Planctomycetia bacterium UBA10217)
001828605v1_00441,001828605v1_00441 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_50_35 )
001828385v1_01644,001828385v1_01644 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_50_42 )
001828545v1_01063,001828545v1_01063 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_52_36 )
000786775v1_00768,000786775v1_00768 (Candidatus Scalindua brodae RU1)
002632345v1_01484,002632345v1_01484 (Candidatus Scalindua rubra Ru_enrich_A1)
001824605v1_01008,001824605v1_01008 (Planctomycetes bacterium GWF2_40_8 )
001828515v1_01887,001828515v1_01887 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_40_12 )
001828595v1_01950,001828595v1_01950 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_40_19 )
002443295v1_03850,002443295v1_03850 (Candidatus Scalindua japonica )
004282745v1_00678,004282745v1_00678 (Candidatus Scalindua sp. SCAELEC01 SCAELEC01)
008501815v1_02987,008501815v1_02987 (Candidatus Scalindua sp. amx)
004351875v1_00860,004351875v1_00860 (Candidatus Scalindua sp. AMX11 AMX11)
000019665v1_02117,000019665v1_02117 (Methylacidiphilum infernorum V4 )
000296795v1_03485,000296795v1_03485 (Candidatus Jettenia caeni )
900696475v1_01227,900696475v1_01227 (uncultured Candidatus Brocadia sp. AMX3.fa.gz)
008363445v1_01444,008363445v1_01444 (Candidatus Jettenia sp. AMX1 AMX1)
005524015v1_00605,005524015v1_00605 (Candidatus Jettenia ecosi J2)
000949635v1_00763,000949635v1_00763 (Candidatus Brocadia sinica JPN1 )
003577215v1_03561,003577215v1_03561 (Candidatus Brocadia sp. AMX1)
001567345v1_00882,001567345v1_00882 (Candidatus Brocadia sinica OLB1)
008363395v1_03009,008363395v1_03009 (Candidatus Brocadia sp. AMX2 AMX2)
000987375v1_01189,000987375v1_01189 (Candidatus Brocadia fulgida RU1)
003577195v1_00635,003577195v1_00635 (Candidatus Brocadia sp. AMX2)
002050315v1_00493,002050315v1_00493 (Candidatus Brocadia sp. UTAMX2 UTAMX2)
001753675v2_02472,001753675v2_02472 (Candidatus Brocadia sapporoensis )
002848945v1_02264,002848945v1_02264 (Candidatus Brocadia sp. R4W10303 R4W10303)
007618155v1_02549,007618155v1_02549 (Candidatus Brocadia sp. BL1 BL1)
002050325v1_01625,002050325v1_01625 (Candidatus Brocadia sp. UTAMX1 UTAMX1)
004282735v1_00457,004282735v1_00457 (Candidatus Brocadia sp. BROELEC01 BROELEC01)
007860005v1_01097,007860005v1_01097 (Candidatus Brocadiaceae bacterium B188 )
900696655v1_02983,900696655v1_02983 (uncultured Planctomycetales bacterium AMX2.fa.gz)
002009475v1_00808,002009475v1_00808 (Candidatus Brocadia caroliniensis 26THWARD)
008933285v1_01926,008933285v1_01926 (Candidatus Brocadia sp. SB37)
007618135v1_01863,007618135v1_01863 (Candidatus Brocadia sp. WS118 WS118)
001824595v1_00913,001824595v1_00913 (Planctomycetes bacterium GWE2_41_14 )
001828645v1_01097,001828645v1_01097 (Planctomycetes bacterium RIFOXYC2_FULL_41_27 )
001828685v1_00885,001828685v1_00885 (Planctomycetes bacterium RIFOXYD2_FULL_41_16 )
001828665v1_02137,001828665v1_02137 (Planctomycetes bacterium RIFOXYD12_FULL_42_12 )
001825595v1_00993,001825595v1_00993 (Planctomycetes bacterium GWB2_41_19 )
001828635v1_00927,001828635v1_00927 (Planctomycetes bacterium RIFOXYB12_FULL_42_10 )
001824525v1_00255,001824525v1_00255 (Planctomycetes bacterium GWA2_50_13 )
001828605v1_01503,001828605v1_01503 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_50_35 )
001830275v1_00649,001830275v1_00649 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_51_37 )
001828565v1_00267,001828565v1_00267 (Planctomycetes bacterium RIFCSPLOWO2_02_FULL_50_16 )
001828385v1_00611,001828385v1_00611 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_50_42 )
002443295v1_03849,002443295v1_03849 (Candidatus Scalindua japonica )
001610895v1_03986,001610895v1_03986 (Planctomyces sp. SH-PL62 )
001956985v1_04929,001956985v1_04929 (Paludisphaera borealis )
008087625v1_06508,008087625v1_06508 (Aquisphaera giovannonii )
003817095v1_03599,003817095v1_03599 (Planctomycetes bacterium metabat2.867)
002701545v1_04297,002701545v1_04297 (Blastopirellula sp. NAT61)
003151915v1_05545,003151915v1_05545 (Planctomycetaceae bacterium palsa_1354)
003153375v1_00565,003153375v1_00565 (Planctomycetaceae bacterium palsa_1355)
003389325v1_02090,003389325v1_02090 (Planctomycetes bacterium LB_PLM_3)
003576845v1_02176,003576845v1_02176 (Planctomycetes bacterium PLA5)
001828335v1_03657,001828335v1_03657 (Planctomycetes bacterium RBG_16_64_12 )
003550845v1_02443,003550845v1_02443 (Planctomycetaceae bacterium B1Sed10_54)
003556405v1_01920,003556405v1_01920 (Planctomycetaceae bacterium CSSed10_67)
007122275v1_02587,007122275v1_02587 (Planctomycetaceae bacterium CSSed162cmA_83)
003562015v1_01745,003562015v1_01745 (Planctomycetaceae bacterium CSSed11_61)
003563515v1_01275,003563515v1_01275 (Planctomycetaceae bacterium CSSed11_266R1m)
007122045v1_00822,007122045v1_00822 (Planctomycetales bacterium CSSed162cmA_102R1)
003509805v1_00185,003509805v1_00185 (Planctomycetaceae bacterium UBA8133)
003576845v1_03989,003576845v1_03989 (Planctomycetes bacterium PLA5)
007119795v1_01252,007119795v1_01252 (Planctomycetales bacterium CSSed162cmA_348R1)
007126245v1_01746,007126245v1_01746 (Planctomycetales bacterium CSSed162cmB_456R1)
009691905v1_02935,009691905v1_02935 (Planctomycetaceae bacterium Baikal-deep-G167)
001828335v1_02108,001828335v1_02108 (Planctomycetes bacterium RBG_16_64_12 )
002402755v1_00441,002402755v1_00441 (Planctomycetes bacterium UBA4800 UBA4800)
003452155v1_02732,003452155v1_02732 (Planctomycetes bacterium UBA8898)
008087625v1_05013,008087625v1_05013 (Aquisphaera giovannonii )
003694415v1_00119,003694415v1_00119 (Planctomycetes bacterium J115)
001723765v1_01055,001723765v1_01055 (Candidatus Scalindua rubra BSI-1)
008636105v1_01246,008636105v1_01246 (Candidatus Scalindua sp. MohnsGC08_192)
008636105v1_02702,008636105v1_02702 (Candidatus Scalindua sp. MohnsGC08_192)
001828515v1_01092,001828515v1_01092 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_40_12 )
001828595v1_00558,001828595v1_00558 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_40_19 )
004282745v1_00684,004282745v1_00684 (Candidatus Scalindua sp. SCAELEC01 SCAELEC01)
008501815v1_02981,008501815v1_02981 (Candidatus Scalindua sp. amx)
004351875v1_00866,004351875v1_00866 (Candidatus Scalindua sp. AMX11 AMX11)
001824525v1_00793,001824525v1_00793 (Planctomycetes bacterium GWA2_50_13 )
001830275v1_00666,001830275v1_00666 (Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_51_37 )
001828565v1_00539,001828565v1_00539 (Planctomycetes bacterium RIFCSPLOWO2_02_FULL_50_16 )
003545295v1_00767,003545295v1_00767 (Planctomycetia bacterium UBA10217)
001828605v1_00433,001828605v1_00433 (Planctomycetes bacterium RIFCSPLOWO2_12_FULL_50_35 )
001828385v1_01112,001828385v1_01112 (Planctomycetes bacterium RIFCSPHIGHO2_02_FULL_50_42 )
000315095v1_01469,000315095v1_01469 (Candidatus Kuenenia stuttgartiensis enrichment culture clone CH1 )
000315115v1_02789,000315115v1_02789 (Candidatus Kuenenia stuttgartiensis enrichment culture clone RU1 )
900232105v1_02703,900232105v1_02703 (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)
900232175v1_07730,900232175v1_07730 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232175v1_03519,900232175v1_03519 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232175v1_06664,900232175v1_06664 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232105v1_03601,900232105v1_03601 (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)
900232175v1_01558,900232175v1_01558 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
900232105v1_02711,900232105v1_02711 (Candidatus Kuenenia stuttgartiensis kuenenia_mbr1_ru-nijmegen)
900696675v1_02368,900696675v1_02368 (uncultured Candidatus Kuenenia sp. AMX1.fa.gz)
007618145v1_00815,007618145v1_00815 (Candidatus Kuenenia stuttgartiensis BL10)
007618145v1_00814,007618145v1_00814 (Candidatus Kuenenia stuttgartiensis BL10)
900232175v1_07737,900232175v1_07737 (Candidatus Kuenenia stuttgartiensis kuenenia_lowcov_bin_ru-nijmegen)
000987375v1_00374,000987375v1_00374 (Candidatus Brocadia fulgida RU1)
003577195v1_02440,003577195v1_02440 (Candidatus Brocadia sp. AMX2)
008933285v1_00491,008933285v1_00491 (Candidatus Brocadia sp. SB37)
002009475v1_02642,002009475v1_02642 (Candidatus Brocadia caroliniensis 26THWARD)
001828665v1_00584,001828665v1_00584 (Planctomycetes bacterium RIFOXYD12_FULL_42_12 )
000949635v1_00674,000949635v1_00674 (Candidatus Brocadia sinica JPN1 )
008363395v1_01991,008363395v1_01991 (Candidatus Brocadia sp. AMX2 AMX2)
003577215v1_00575,003577215v1_00575 (Candidatus Brocadia sp. AMX1)
001567345v1_03035,001567345v1_03035 (Candidatus Brocadia sinica OLB1)
000949635v1_02661,000949635v1_02661 (Candidatus Brocadia sinica JPN1 )
003577215v1_01907,003577215v1_01907 (Candidatus Brocadia sp. AMX1)
