LABELS
#use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#NODE_ID,LABEL

#Examples
#define a name for an internal node
#9031|9606,Metazoa

#change the label for leaf node 9606
#9606,Homo sapiens
GCA_003149495.1,Gemmata obscuriglobus 
fls,Phnomibacter ginsenosidimutans
lacs,Lacibacter sp. S13-6-6
fei,Ferruginibacter sp. KIS38-8
flp,Ferruginibacter lapsinanis
flc,Flavihumibacter sp. IMCC34837
flv,Flavihumibacter sp. IMCC34838
hhy,Haliscomenobacter hydrossis
sgn,Saprospira grandis
phe,Pedobacter heparinus
pep,Pedobacter sp. PACM 27299
pcm,Pedobacter cryoconitis
psty,Pedobacter steynii
pgs,Pedobacter ginsengisoli
pej,Pedobacter aquae
pek,Pedobacter sp. KBS0701
proe,Pedobacter roseus
pex,Pedobacter endophyticus
psn,Pseudopedobacter saltans
shg,Sphingobacterium sp. 21
sht,Sphingobacterium sp. ML3W
sphn,Sphingobacterium sp. B29
smiz,Sphingobacterium mizutaii
spsc,Sphingobacterium psychroaquaticum
sphz,Sphingobacterium sp. CZ-2
sphe,Sphingobacterium sp. dk4302
spdr,Sphingobacterium sp. DR205
sdj,Sphingobacterium daejeonense
stha,Sphingobacterium thalpophilum
sspi,Sphingobacterium spiritivorum
smui,Sphingobacterium multivorum
ssiy,Sphingobacterium siyangense
scn,Solitalea canadensis
mup,Mucilaginibacter sp. PAMC 26640
muc,Mucilaginibacter xinganensis
mgot,Mucilaginibacter gotjawali
muh,Mucilaginibacter celer
mgin,Mucilaginibacter ginsenosidivorans
mgk,Mucilaginibacter ginsenosidivorax
mrub,Mucilaginibacter rubeus
mgos,Mucilaginibacter gossypii
mmab,Mucilaginibacter mali
mgik,Mucilaginibacter ginkgonis
mdj,Mucilaginibacter daejeonensis
agd,Anseongella ginsenosidimutans
oli,Olivibacter sp. LS-1
sbx,Sphingobacteriaceae bacterium GW460-11-11-14-LB5
cmr,Cyclobacterium marinum
camu,Cyclobacterium amurskyense
bbd,Belliella baltica
evi,Echinicola vietnamensis
est,Echinicola strongylocentroti
echi,Echinicola soli
alm,Algoriphagus sanaruensis
mda,Mongoliitalea daihaiensis
chu,Cytophaga hutchinsonii
sli,Spirosoma linguale
srd,Spirosoma radiotolerans
smon,Spirosoma montaniterrae
spir,Spirosoma pollinicola
spik,Spirosoma sp. KCTC 42546
spib,Spirosoma aureum
stae,Spirosoma taeanense
srho,Spirosoma sp. CJU-R4
psez,Aquirufa nivalisilvae
rhoz,Rhodocytophaga rosea
dfe,Dyadobacter fermentans
dsn,Dyadobacter sandarakinus
lby,Leadbetterella byssophila
rsi,Runella slithyformis
run,Runella rosea
rup,Runella sp. SP2
eol,Emticicia oligotrophica
fae,Fibrella aestuarina
fib,Fibrella sp. ES10-3-2-2
als,Arcticibacterium luteifluviistationis
fli,Bernardetia litoralis
hsw,Hymenobacter swuensis
hym,Hymenobacter sp. APR13
hyd,Hymenobacter sp. DG25B
hye,Hymenobacter sp. DG25A
hyg,Hymenobacter sedentarius
hyp,Hymenobacter sp. PAMC 26554
hyz,Hymenobacter sp. PAMC 26628
hnv,Hymenobacter nivis
hyh,Hymenobacter oligotrophus
hyj,Hymenobacter jejuensis
hqi,Hymenobacter qilianensis
hrs,Hymenobacter sp. BT18
hbn,Hymenobacter busanensis
hts,Hymenobacter sp. TS19
pko,Pontibacter korlensis
pact,Pontibacter actiniarum
ruf,Rufibacter radiotolerans
rti,Rufibacter tibetensis
rud,Rufibacter sp. DG15C
nib,Nibribacter ruber
add,Adhaeribacter radiodurans
aswu,Adhaeribacter swui
mtt,Marivirga tractuosa
fpf,Mangrovivirga cuniculi
flm,Flammeovirga sp. MY04
fll,Flammeovirga pectinis
fya,Flammeovirga yaeyamensis
fka,Flammeovirga kamogawensis
fbt,Flammeovirgaceae bacterium 311
aas,Candidatus Amoebophilus asiaticus
che,Cardinium endosymbiont of Encarsia pergandiella
cec,Cardinium endosymbiont of Sogatella furcifera
cher,Candidatus Cardinium hertigii
chk,Chryseolinea soli
fuv,Fulvivirga lutea
gfo,Gramella forsetii
grl,Gramella salexigens
gfl,Gramella flava
grs,Gramella fulva
fps,Flavobacterium psychrophilum
fpc,Flavobacterium psychrophilum
fpy,Flavobacterium psychrophilum
fpo,Flavobacterium psychrophilum
fpq,Flavobacterium psychrophilum
fpv,Flavobacterium psychrophilum
fpw,Flavobacterium psychrophilum
fpk,Flavobacterium psychrophilum
fpsz,Flavobacterium psychrophilum
fjo,Flavobacterium johnsoniae
fjg,Flavobacterium anhuiense
fbr,Flavobacterium branchiophilum
fco,Flavobacterium columnare
fin,Flavobacterium indicum
fgl,Flavobacterium gilvum
fcm,Flavobacterium commune
ffa,Flavobacterium faecale
fat,Flavobacterium arcticum
fki,Flavobacterium kingsejongi
fpal,Flavobacterium pallidum
fmg,Flavobacterium magnum
falb,Flavobacterium album
fcr,Flavobacterium crocinum
fse,Flavobacterium sediminis
fsn,Flavobacterium sangjuense
fnk,Flavobacterium nackdongense
fak,Flavobacterium alkalisoli
ffl,Flavobacterium fluviale
fen,Flavobacterium endoglycinae
fcv,Flavobacterium covae
foe,Flavobacterium oreochromis
coc,Capnocytophaga ochracea
ccm,Capnocytophaga canimorsus
col,Capnocytophaga sp. oral taxon 323
chg,Capnocytophaga haemolytica
capn,Capnocytophaga endodontalis
cgh,Capnocytophaga gingivalis
clk,Capnocytophaga leadbetteri
cspu,Capnocytophaga sputigena
ccyn,Capnocytophaga cynodegmi
caph,Capnocytophaga sp. H4358
csto,Capnocytophaga stomatis
capq,Capnocytophaga sp. H2931
capf,Capnocytophaga sp. FDAARGOS_737
rbi,Robiginitalea biformata
zpr,Zunongwangia profunda
cat,Croceibacter atlanticus
fbc,Maribacter sp. HTCC2170
marm,Maribacter sp. 1_2014MBL_MicDiv
mart,Maribacter hydrothermalis
marb,Maribacter cobaltidurans
mare,Maribacter sp. MJ134
cao,Cellulophaga algicola
cly,Cellulophaga lytica
clh,Cellulophaga lytica
cbal,Cellulophaga baltica
cbat,Cellulophaga baltica
kdi,Dokdonia sp. 4H-3-7-5
dok,Dokdonia sp. MED134
ddo,Dokdonia donghaensis
dod,Dokdonia sp. Dokd-P16
lan,Lacinutrix sp. 5H-3-7-4
lvn,Lacinutrix venerupis
laci,Lacinutrix sp. Bg11-31
zga,Zobellia galactanivorans
mrs,Muricauda ruestringensis
mlt,Muricauda lutaonensis
mut,Muricauda oceani
maqi,Muricauda aquimarina
spon,Muricauda aurantiaca
asl,Aequorivita sublithincola
aev,Aequorivita sp. H23M31
aic,Aequorivita iocasae
ptq,Psychroflexus torquis
ndo,Nonlabens dokdonensis
nom,Nonlabens sp. MIC269
nsd,Nonlabens tegetincola
nob,Nonlabens sp. MB-3u-79
noj,Nonlabens ponticola
pom,Polaribacter sp. MED152
pob,Polaribacter vadi
prn,Polaribacter reichenbachii
pola,Polaribacter sp. BM10
poa,Polaribacter sp. ALD11
phal,Polaribacter haliotis
plit,Polaribacter litorisediminis
myr,Myroides sp. A21
mpw,Myroides profundi
mod,Myroides odoratimimus
myz,Myroides sp. ZB35
moa,Myroides odoratus
win,Winogradskyella sp. PG-2
wij,Winogradskyella sp. J14-2
sze,Siansivirga zeaxanthinifaciens
ahz,Algibacter alginicilyticus
syi,Sediminicola sp. YIK13
tdi,Tenacibaculum dicentrarchi
ten,Tenacibaculum todarodis
tje,Tenacibaculum jejuense
tmar,Tenacibaculum maritimum
tmp,Tenacibaculum mesophilum
lut,Lutibacter profundi
lul,Urechidicola croceus
wfu,Wenyingzhuangia fucanilytica
for,Formosa sp. Hel1_33_131
foh,Formosa sp. Hel3_A1_48
fop,Formosa sediminum
salt,Salegentibacter sp. T436
smis,Salegentibacter mishustinae
seon,Seonamhaeicola sp. S2-3
aalg,Arenibacter algicola
oll,Olleya sp. Bg11-27
oaq,Olleya aquimaris
fek,Flavivirga eckloniae
taj,Tamlana carrageenivorans
aue,Pukyongia salina
kos,Kordia sp. SMS9
kan,Kordia antarctica
marf,Mariniflexile sp. TRM1-10
aqb,Aquimarina sp. BL5
aqa,Aquimarina sp. AD1
aqd,Aquimarina sp. AD10
emar,Euzebyella marina
mur,Muriicola soli
psyn,Psychroserpens sp. NJDZ02
afla,Antarcticibacterium flavum
anp,Antarcticibacterium arcticum
oci,Oceanihabitans sp. IOP_32
mgel,Marinirhabdus gelatinilytica
mesq,Mesoflavibacter sp. HG96
gaa,Galbibacter sp. BG1
cagg,Costertonia aggregata
alti,Constantimarinum furrinae
marx,Marixanthomonas sp. SCSIO 43207
lpal,Leeuwenhoekiella palythoae
sinh,Sinomicrobium sp. HD2P242
asag,Aggregatimonas sangjinii
flg,Flagellimonas sp. HMM57
sabu,Sabulilitoribacter sp. BrNp1-15
zsp,Zhouia spongiae
bia,Bizionia sp. M204
fba,Flavobacteriaceae bacterium 3519-10
fbu,Flavobacteriaceae bacterium UJ101
fbe,Flavobacteriaceae bacterium 10Alg115
ran,Riemerella anatipestifer
rai,Riemerella anatipestifer
rar,Riemerella anatipestifer
rag,Riemerella anatipestifer
rae,Riemerella anatipestifer
rat,Riemerella anatipestifer
wvi,Weeksella virosa
orh,Ornithobacterium rhinotracheale
ori,Ornithobacterium rhinotracheale
eao,Elizabethkingia anophelis
emn,Elizabethkingia anophelis
een,Elizabethkingia anophelis
elb,Elizabethkingia miricola
emg,Elizabethkingia meningoseptica
ego,Elizabethkingia ursingii
egm,Elizabethkingia bruuniana
elz,Elizabethkingia sp. 2-6
elt,Elizabethkingia sp. JS20170427COW
chz,Chryseobacterium sp. StRB126
cgn,Chryseobacterium gallinarum
cih,Chryseobacterium sp. IHB B 17019
chh,Chryseobacterium glaciei
cio,Chryseobacterium indologenes
chry,Chryseobacterium sp. T16E-39
cpip,Chryseobacterium piperi
chrs,Chryseobacterium sp. 3008163
chrz,Chryseobacterium sp. 6424
carh,Chryseobacterium arthrosphaerae
csha,Chryseobacterium shandongense
cnk,Chryseobacterium nakagawai
cjt,Chryseobacterium joostei
cil,Chryseobacterium indoltheticum
ccau,Chryseobacterium carnipullorum
cben,Chryseobacterium bernardetii
cgle,Chryseobacterium gleum
ctai,Chryseobacterium taihuense
clac,Chryseobacterium lactis
ctak,Chryseobacterium taklimakanense
csal,Chryseobacterium salivictor
cbp,Chryseobacterium balustinum
cjg,Kaistella jeonii
ccas,Kaistella carnis
cant,Kaistella antarctica
kda,Kaistella daneshvariae
khi,Kaistella haifensis
kbe,Candidatus Kaistella beijingensis
eva,Epilithonimonas vandammei
cnr,Cloacibacterium normanense
ebv,Empedobacter brevis
efal,Empedobacter falsenii
este,Empedobacter stercoris
bcad,Bergeyella cardium
apib,Apibacter sp. B2966
civ,Cruoricaptor ignavus
fbo,Faecalibacter bovis
smg,Candidatus Sulcia muelleri
sms,Candidatus Sulcia muelleri
smh,Candidatus Sulcia muelleri
sum,Candidatus Sulcia muelleri
smv,Candidatus Sulcia muelleri
smub,Candidatus Sulcia muelleri
smum,Candidatus Sulcia muelleri
smue,Candidatus Sulcia muelleri
smup,Candidatus Sulcia muelleri
bbl,Blattabacterium sp. (Blattella germanica)
bpi,Blattabacterium sp. (Periplaneta americana)
bmm,Blattabacterium sp. (Mastotermes darwiniensis)
bcp,Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu
bbg,Blattabacterium sp. (Blaberus giganteus)
bbq,Blattabacterium sp. (Blatta orientalis)
blp,Blattabacterium cuenoti
blu,Blattabacterium sp. (Nauphoeta cinerea)
blck,Blattabacterium sp. (Cryptocercus kyebangensis)
bpun,Blattabacterium punctulatus
fte,Fluviicola taffensis
flu,Candidatus Fluviicola riflensis
crm,Crocinitomix sp. GM2_3_6_6
oho,Owenweeksia hongkongensis
chyd,Croceimicrobium hydrocarbonivorans
ise,Ichthyobacterium seriolicida
elv,Candidatus Walczuchella monophlebidarum
udi,Candidatus Uzinura diaspidicola
shyr,Candidatus Sulfidibacterium hydrothermale
bbau,Bacteroidetes bacterium UKL13-3
cte,Chlorobaculum tepidum
cpc,Chlorobaculum parvum
clz,Chlorobaculum limnaeum
cch,Chlorobium chlorochromatii
cph,Chlorobium phaeobacteroides
cpb,Chlorobium phaeobacteroides
cli,Chlorobium limicola
pvi,Chlorobium phaeovibrioides
plt,Pelodictyon luteolum
pph,Pelodictyon phaeoclathratiforme
paa,Prosthecochloris aestuarii
proc,Prosthecochloris sp. CIB 2401
prs,Prosthecochloris sp. HL-130-GSB
pros,Prosthecochloris sp. GSB1
cts,Chloroherpeton thalassium
ial,Ignavibacterium album
mro,Melioribacter roseus
cprv,Candidatus Cyclonatronum proteinivorum
caci,Candidatus Cloacimonas acidaminovorans
aae,Aquifex aeolicus
hya,Hydrogenobaculum sp. Y04AAS1
hho,Hydrogenobaculum sp. HO
hys,Hydrogenobaculum sp. SN
hth,Hydrogenobacter thermophilus
hte,Hydrogenobacter thermophilus
tal,Thermocrinis albus
trd,Thermocrinis ruber
sul,Sulfurihydrogenibium sp. YO3AOP1
saf,Sulfurihydrogenibium azorense
pmx,Persephonella marina
ttk,Thermosulfidibacter takaii
tam,Thermovibrio ammonificans
dte,Desulfurobacterium thermolithotrophum
tma,Thermotoga maritima
tmm,Thermotoga maritima
tmi,Thermotoga maritima
tmw,Thermotoga maritima
tmq,Thermotoga maritima
tmx,Thermotoga maritima
tpt,Thermotoga petrophila
trq,Thermotoga sp. RQ2
tna,Thermotoga neapolitana
tnp,Thermotoga naphthophila
thq,Thermotoga sp. 2812B
thz,Thermotoga sp. Cell2
thr,Thermotoga sp. RQ7
tle,Pseudothermotoga lettingae
tta,Pseudothermotoga thermarum
phy,Pseudothermotoga hypogea
tme,Thermosipho melanesiensis
taf,Thermosipho africanus
thp,Thermosipho sp. 1063
ther,Thermosipho sp. 1070
tfe,Thermosipho ferrireducens
fno,Fervidobacterium nodosum
fpe,Fervidobacterium pennivorans
fia,Fervidobacterium islandicum
ocy,Tepiditoga spiralis
pmo,Petrotoga mobilis
mpz,Marinitoga piezophila
marn,Marinitoga sp. 1137
dtn,Defluviitoga tunisiensis
kol,Kosmotoga olearia
kpf,Kosmotoga pacifica
mpg,Mesotoga prima
minf,Mesotoga infera
asac,Athalassotoga saccharophila
cpo,Coprothermobacter proteolyticus
cex,Caldisericum exile
din,Desulfurispirillum indicum
ddf,Deferribacter desulfuricans
dap,Denitrovibrio acetiphilus
gtl,Geovibrio thiophilus
cni,Calditerrivibrio nitroreducens
fsi,Flexistipes sinusarabici
caby,Caldithrix abyssi
dth,Dictyoglomus thermophilum
dtu,Dictyoglomus turgidum
tye,Thermodesulfovibrio yellowstonii
dtp,Dissulfurispira thermophila
nde,Nitrospira defluvii
nmv,Nitrospira moscoviensis
nio,Candidatus Nitrospira inopinata
nja,Nitrospira japonica
nkf,Candidatus Nitrospira kreftii
lfc,Leptospirillum ferrooxidans
lfi,Leptospirillum ferriphilum
lfp,Leptospirillum ferriphilum
leg,Leptospirillum sp. Group II 'CF-1'
tid,Thermodesulfatator indicus
top,Thermodesulfobacterium geofontis
tcm,Thermodesulfobacterium commune
thet,Thermodesulfobacterium sp. TA1
cthi,Caldimicrobium thiodismutans
tav,Thermosulfuriphilus ammonigenes
tmai,Thermosulfurimonas marina
nli,Candidatus Nitronauta litoralis
alam,Atribacter laminatus
saal,Candidatus Saccharimonas aalborgensis
sox,Candidatus Nanosynbacter lyticus
nft,Candidatus Nanosynbacter featherlites
mvl,Candidatus Minimicrobia vallesae
mnd,Candidatus Minimicrobia naudis
sbe,Candidatus Saccharibacteria bacterium RAAC3_TM7_1
sbag,Candidatus Saccharibacteria bacterium GW2011_GWC2_44_17
prf,Candidatus Peribacter riflensis
bana,Candidatus Bipolaricaulis anaerobius
bih,Candidatus Bipolaricaulis sibiricus
aprd,Candidatus Absconditicoccus praedator
srb,candidate division SR1 bacterium RAAC1_SR1_1
srg,candidate division SR1 bacterium Aalborg_AAW-1
mox,Candidatus Methylomirabilis oxyfera
caqa,Candidatus Chazhemtobacterium aquaticus
dpb,Candidatus Babela massiliensis
vpm,Vermiphilus pyriformis
tmg,candidate division TM6 bacterium GW2011_GWF2_28_16
wwe,candidate division WWE3 bacterium RAAC2_WWE3_1
bgw,candidate division Kazan bacterium GW2011_GWA1_50_15
bbgw,Berkelbacteria bacterium GW2011_GWE1_39_12
mib,Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16
pwo,Candidatus Wolfebacteria bacterium GW2011_GWB1_47_1
baab,bacterium AB1
mja,Methanocaldococcus jannaschii
mfe,Methanocaldococcus fervens
mvu,Methanocaldococcus vulcanius
mfs,Methanocaldococcus sp. FS406-22
mif,Methanocaldococcus infernus
mjh,Methanocaldococcus bathoardescens
mesg,Methanocaldococcus sp. SG7
mesa,Methanocaldococcus sp. SG1
mig,Methanotorris igneus
mmp,Methanococcus maripaludis
mmq,Methanococcus maripaludis
mmx,Methanococcus maripaludis
mmz,Methanococcus maripaludis
mmd,Methanococcus maripaludis
mmak,Methanococcus maripaludis
mmao,Methanococcus maripaludis
mmad,Methanococcus maripaludis
mae,Methanococcus aeolicus
mvn,Methanococcus vannielii
mvo,Methanococcus voltae
mok,Methanothermococcus okinawensis
metf,Methanofervidicoccus sp. A16
mth,Methanothermobacter thermautotrophicus
mmg,Methanothermobacter marburgensis
metc,Methanothermobacter sp. CaT2
mwo,Methanothermobacter wolfeii
mete,Methanothermobacter sp. EMTCatA1
metz,Methanothermobacter sp. MT-2
metk,Methanothermobacter sp. KEPCO-1
mthm,Methanothermobacter sp. THM-1
metj,Methanothermobacter sp. THM-2
mtee,Methanothermobacter tenebrarum
mst,Methanosphaera stadtmanae
metb,Methanosphaera sp. BMS
mru,Methanobrevibacter ruminantium
msi,Methanobrevibacter smithii
meb,Methanobrevibacter sp. AbM4
mmil,Methanobrevibacter millerae
meye,Methanobrevibacter sp. YE315
mol,Methanobrevibacter olleyae
maro,Methanobrevibacter arboriphilus
mel,Methanobacterium lacus
mew,Methanobacterium paludis
meth,Methanobacterium sp. MB1
mfc,Methanobacterium formicicum
mfi,Methanobacterium formicicum
mcub,Methanobacterium congolense
msub,Methanobacterium subterraneum
metn,Methanobacterium sp. MZ-A1
mett,Methanobacterium sp. BRmetb2
meto,Methanobacterium sp. BAmetb5
meme,Methanobacterium sp. MethCAN
mfv,Methanothermus fervidus
mka,Methanopyrus kandleri
afu,Archaeoglobus fulgidus
afg,Archaeoglobus fulgidus
apo,Archaeoglobus profundus
ave,Archaeoglobus veneficus
ast,Archaeoglobus sulfaticallidus
fpl,Ferroglobus placidus
gac,Geoglobus acetivorans
gah,Geoglobus ahangari
pfu,Pyrococcus furiosus
pfi,Pyrococcus furiosus
pho,Pyrococcus horikoshii
pab,Pyrococcus abyssi
pyn,Pyrococcus sp. NA2
pya,Pyrococcus yayanosii
pys,Pyrococcus sp. ST04
pyc,Pyrococcus kukulkanii
tko,Thermococcus kodakarensis
ton,Thermococcus onnurineus
tga,Thermococcus gammatolerans
tsi,Thermococcus sibiricus
tba,Thermococcus barophilus
the,Thermococcus sp. 4557
tha,Thermococcus sp. AM4
thm,Thermococcus cleftensis
tlt,Thermococcus litoralis
ths,Thermococcus paralvinellae
tnu,Thermococcus nautili
teu,Thermococcus eurythermalis
tgy,Thermococcus guaymasensis
thv,Thermococcus sp. 2319x1
tch,Thermococcus chitonophagus
tpep,Thermococcus peptonophilus
tpie,Thermococcus piezophilus
tgg,Thermococcus gorgonarius
tce,Thermococcus celer
tbs,Thermococcus barossii
thh,Thermococcus sp. 5-4
tsl,Thermococcus siculi
ttd,Thermococcus thioreducens
tprf,Thermococcus profundus
trl,Thermococcus radiotolerans
tpaf,Thermococcus pacificus
thy,Thermococcus sp. P6
tic,Thermococcus indicus
tcq,Thermococcus camini
them,Thermococcus aciditolerans
ppac,Palaeococcus pacificus
mba,Methanosarcina barkeri
mby,Methanosarcina barkeri
mbw,Methanosarcina barkeri
mbar,Methanosarcina barkeri
mbak,Methanosarcina barkeri
mac,Methanosarcina acetivorans
mma,Methanosarcina mazei
mmaz,Methanosarcina mazei
mmj,Methanosarcina mazei
mmac,Methanosarcina mazei
mvc,Methanosarcina vacuolata
mek,Methanosarcina sp. Kolksee
mls,Methanosarcina lacustris
metm,Methanosarcina sp. MTP4
mef,Methanosarcina sp. WH1
meq,Methanosarcina sp. WWM596
msj,Methanosarcina siciliae
msz,Methanosarcina siciliae
msw,Methanosarcina siciliae
mthr,Methanosarcina thermophila
mthe,Methanosarcina thermophila
mhor,Methanosarcina horonobensis
mfz,Methanosarcina flavescens
mbu,Methanococcoides burtonii
mmet,Methanococcoides methylutens
melo,Methanococcoides orentis
mmh,Methanohalophilus mahii
mhaz,Methanohalophilus halophilus
mev,Methanohalobium evestigatum
mzh,Methanosalsum zhilinae
mpy,Methanolobus psychrophilus
mzi,Methanolobus zinderi
mhz,Methanomethylovorans hollandica
mtp,Methanothrix thermoacetophila
mcj,Methanothrix soehngenii
mhi,Methanothrix harundinacea
mhu,Methanospirillum hungatei
mrtj,Methanospirillum sp. J.3.6.1-F.2.7.3
mla,Methanocorpusculum labreanum
mem,Methanoculleus marisnigri
mbg,Methanoculleus bourgensis
mema,Methanoculleus bourgensis
mchk,Methanoculleus chikugoensis
mpi,Methanolacinia petrolearia
mbn,Methanoregula boonei
mfo,Methanoregula formicica
mpl,Methanosphaerula palustris
mpd,Methanocella paludicola
mez,Methanocella conradii
rci,Methanocella arvoryzae
hal,Halobacterium salinarum
hsl,Halobacterium salinarum
hdl,Halobacterium sp. DL1
hhb,Halobacterium hubeiense
hags,Halobacterium sp. GSL-19
habo,Halobacterium sp. BOL4-2
hno,Halobacterium noricense
hlu,Halobacterium litoreum
hanr,Halobacterium sp. NRC-34001
hje,Halalkalicoccus jeotgali
halh,Halodesulfurarchaeum formicicum
hhsr,Halodesulfurarchaeum formicicum
hsu,Halanaeroarchaeum sulfurireducens
hsf,Halanaeroarchaeum sulfurireducens
salr,Salarchaeum sp. JOR-1
halr,Halarchaeum sp. CBA1220
hara,Natranaeroarchaeum sulfidigenum
haad,Halocatena sp. AD-1
halx,Halorussus sp. XZYJT49
hma,Haloarcula marismortui
hhi,Haloarcula hispanica
hhn,Haloarcula hispanica
hab,Haloarcula sp. CBA1115
hta,Haloarcula taiwanensis
halj,Haloarcula sp. JP-L23
hsin,Haloarcula sinaiiensis
nph,Natronomonas pharaonis
nmo,Natronomonas moolapensis
nho,Natronomonas halophila
nsal,Natronomonas salina
hut,Halorhabdus utahensis
hti,Halorhabdus tiamatea
hala,Halorhabdus sp. CBA1104
hmu,Halomicrobium mukohataei
halz,Halomicrobium mukohataei
hall,Halomicrobium sp. LC1Hm
hazp,Halomicrobium sp. ZPS1
hali,Halorientalis sp. IM1011
hsn,Halapricum salinum
hds,Halapricum desulfuricans
hrr,Halosimplex rubrum
hpel,Halosimplex pelagicum
hlt,Halosimplex litoreum
harc,Halococcoides cellulosivorans
hdo,Halococcus dombrowskii
hwa,Haloquadratum walsbyi
hwc,Haloquadratum walsbyi
hvo,Haloferax volcanii
hme,Haloferax mediterranei
hgi,Haloferax gibbonsii
hale,Haloferax alexandrinus
hbo,Halogeometricum borinquense
haq,Haloplanus rubicundus
haj,Haloplanus rubicundus
haer,Haloplanus aerogenes
hra,Haloplanus rallus
hlm,Halobellus limi
halm,Haloprofundus sp. MHR1
hla,Halorubrum lacusprofundi
halp,Halorubrum sp. PV6
halb,Halorubrum sp. BOL3-1
hezz,Halorubrum ezzemoulense
halq,Halorubrum sp. CBA1229
hss,Halorubrum sodomense
hsai,Halorubrum salinarum
hazz,Halorubrum sp. 2020YC2
srub,Salinigranum rubrum
hae,Halohasta litchfieldiae
haln,Halolamina sp. CBA1230
halg,Halobaculum halophilum
halu,Halobaculum salinum
hmp,Halobaculum magnesiiphilum
hre,Halobaculum roseum
hrm,Halobaculum rubrum
hacb,Halobaculum sp. CBA1158
hdf,Halalkaliarchaeum desulfuricum
hah,halophilic archaeon DL31
htu,Haloterrigena turkmenica
hda,Haloterrigena daqingensis
hjt,Haloterrigena jeotgali
haly,Natrinema halophilum
hsal,Haloterrigena salifodinae
hlo,Haloterrigena longa
hakz,Haloterrigena alkaliphila
nmg,Natrialba magadii
hxa,Halopiger xanaduensis
nat,Natrinema sp. J7-2
npe,Natrinema pellirubrum
nvr,Natrinema versiforme
npl,Natrinema pallidum
nay,Natrinema sp. YPL30
nge,Natronobacterium gregoryi
hru,Halovivax ruber
nou,Natronococcus occultus
sali,Salinarchaeum sp. Harcht-Bsk1
saim,Salinarchaeum sp. IM2453
hlr,Halostagnicola larsenii
hlc,Halobiforma lacisalsi
naj,Natrarchaeobaculum aegyptiacum
nag,Natrarchaeobaculum sulfurireducens
nan,Natrarchaeobaculum sulfurireducens
nbg,Natronorubrum bangense
nas,Natronorubrum aibiense
melu,Candidatus Methanoliparum sp. LAM-1
meam,Methanonatronarchaeum sp. AMET6-2
tac,Thermoplasma acidophilum
tvo,Thermoplasma volcanium
pto,Picrophilus torridus
fac,Ferroplasma acidarmanus
fai,Ferroplasma acidiphilum
cdiv,Cuniculiplasma divulgatum
tar,Thermoplasmatales archaeon BRNA1
max,Candidatus Methanomethylophilus alvus
mer,Candidatus Methanomassiliicoccus intestinalis
mear,Candidatus Methanoplasma termitum
marc,methanogenic archaeon ISO4-H5
abi,Aciduliprofundum boonei
acf,Aciduliprofundum sp. MAR08-339
ape,Aeropyrum pernix
acj,Aeropyrum camini
smr,Staphylothermus marinus
shc,Staphylothermus hellenicus
iho,Ignicoccus hospitalis
iis,Ignicoccus islandicus
dka,Desulfurococcus amylolyticus
dfd,Desulfurococcus amylolyticus
dmu,Desulfurococcus mucosus
tag,Thermosphaera aggregans
iag,Ignisphaera aggregans
thg,Thermogladius calderae
hbu,Hyperthermus butylicus
pfm,Pyrolobus fumarii
pdl,Pyrodictium delaneyi
sto,Sulfurisphaera tokodaii
soh,Sulfurisphaera ohwakuensis
sso,Saccharolobus solfataricus
sol,Saccharolobus solfataricus
ssoa,Saccharolobus solfataricus
ssol,Saccharolobus solfataricus
ssof,Saccharolobus solfataricus
sshi,Saccharolobus shibatae
scas,Saccharolobus caldissimus
sai,Sulfolobus acidocaldarius
sacn,Sulfolobus acidocaldarius
sacr,Sulfolobus acidocaldarius
sacs,Sulfolobus acidocaldarius
sis,Sulfolobus islandicus
sia,Sulfolobus islandicus
sim,Sulfolobus islandicus
sid,Sulfolobus islandicus
siy,Sulfolobus islandicus
sin,Sulfolobus islandicus
sii,Sulfolobus islandicus
sih,Sulfolobus islandicus
sir,Sulfolobus islandicus
sic,Sulfolobus islandicus
sula,Sulfolobus sp. A20
sule,Sulfolobus sp. E5-1-F
sulo,Sulfolobus sp. E11-6
sull,Sulfolobus sp. S-194
mse,Metallosphaera sedula
mcn,Metallosphaera cuprina
mhk,Metallosphaera hakonensis
mpru,Metallosphaera prunae
mten,Metallosphaera tengchongensis
mjn,Metallosphaera javensis
aho,Acidianus hospitalis
aman,Acidianus manzaensis
abri,Acidianus brierleyi
asul,Acidianus sulfidivorans
aamb,Acidianus ambivalens
acih,Acidianus sp. HS-5
sacd,Sulfodiicoccus acidiphilus
sazo,Stygiolobus azoricus
csty,Stygiolobus sp. KN-1
step,Sulfuracidifex tepidarius
sahs,Sulfolobales archaeon HS-7
