	K20934	K20933	K20932	K20935	K10535	K00371	K00370	K00368	K15864	K03385	K15876	K03320	K02598	K00362	K00363	K00372	K02575	K02189	K02188	K02006	K02007	K02008	K03386	K00428	K05919	K22405	K00958	K00394	K00395	K21816	K02497	K03594	K03711	K02635	K02636	K22225	K22226	K22227	K05565	K05566	K05567	K05568	K05569	K05571	K05299	K15022	K00330	K00331	K00332	K00333	K00337	K00338	K00339	K00340	K00341	K00342	K00343	K05575	K05577	K05579	K05580	K05583	K00346	K00347	K00348	K00349	K00350	K00351	K03612	K03613	K03614	K03615	K03616	K03617	K02108	K02109	K02110	K02111	K02112	K02113	K02114	K02115
GCA_003552145.1																				003552145v1_01644	003552145v1_01646	003552145v1_01645			003552145v1_01151												003552145v1_01243	003552145v1_01043,003552145v1_01241,003552145v1_00806,003552145v1_00730	003552145v1_00261,003552145v1_00259	003552145v1_00258	003552145v1_00257					003552145v1_00464			003552145v1_00263														003552145v1_00614	003552145v1_01269,003552145v1_00879	003552145v1_00878,003552145v1_01270	003552145v1_01271,003552145v1_00877			003552145v1_01263	003552145v1_01728	003552145v1_01264	003552145v1_01303,003552145v1_01265	003552145v1_01653	003552145v1_01727								
GCA_003551385.1		003551385v1_00024																						003551385v1_00415	003551385v1_01413,003551385v1_00659													003551385v1_00692,003551385v1_01147,003551385v1_00938	003551385v1_01536			003551385v1_00477	003551385v1_00478	003551385v1_00480	003551385v1_01426				003551385v1_01538		003551385v1_01540																		003551385v1_00880		003551385v1_00879	003551385v1_00878										
GCA_012728835.1																							012728835v1_00079										012728835v1_00324,012728835v1_00337					012728835v1_01361,012728835v1_02526,012728835v1_00714,012728835v1_01051,012728835v1_02099								012728835v1_01251,012728835v1_02145																						012728835v1_01871	012728835v1_00419	012728835v1_00425	012728835v1_00420	012728835v1_00421	012728835v1_01893,012728835v1_00740	012728835v1_00424	012728835v1_00348	012728835v1_00350	012728835v1_00349	012728835v1_00351	012728835v1_00344		012728835v1_00345	012728835v1_00352
GCA_003551305.1							003551305v1_02574					003551305v1_02076		003551305v1_02483						003551305v1_00844					003551305v1_02758								003551305v1_02712			003551305v1_00265,003551305v1_00264	003551305v1_00262	003551305v1_00263,003551305v1_02951,003551305v1_02851		003551305v1_00436	003551305v1_00437	003551305v1_00438	003551305v1_00431	003551305v1_00433		003551305v1_00008																	003551305v1_02571	003551305v1_02569	003551305v1_02567,003551305v1_02008	003551305v1_02566,003551305v1_02007	003551305v1_02565,003551305v1_02006	003551305v1_02564,003551305v1_02005		003551305v1_01680	003551305v1_02009		003551305v1_01880	003551305v1_01679	003551305v1_00060	003551305v1_00057	003551305v1_00059,003551305v1_00058	003551305v1_00055	003551305v1_00053	003551305v1_00056	003551305v1_00052	003551305v1_00054
GCA_903901045.1												903901045v1_02868								903901045v1_03726	903901045v1_03728	903901045v1_03727																903901045v1_00351,903901045v1_00921,903901045v1_03047,903901045v1_03819,903901045v1_02774,903901045v1_03535									903901045v1_02206		903901045v1_03444	903901045v1_03443	903901045v1_02212	903901045v1_02213	903901045v1_02214	903901045v1_02215	903901045v1_02216	903901045v1_02217	903901045v1_02218											903901045v1_00226	903901045v1_03608	903901045v1_00187	903901045v1_03609	903901045v1_03610	903901045v1_03477,903901045v1_00896	903901045v1_00186								
GCA_013152475.1	013152475v1_03591		013152475v1_03593		013152475v1_01625							013152475v1_00511		013152475v1_03549						013152475v1_00281	013152475v1_00279	013152475v1_00280	013152475v1_02981	013152475v1_00133,013152475v1_00392	013152475v1_04442	013152475v1_01738	013152475v1_01357,013152475v1_04787	013152475v1_04789	013152475v1_04788		013152475v1_00660,013152475v1_03284					013152475v1_03414,013152475v1_03415	013152475v1_03416	013152475v1_04614,013152475v1_02466,013152475v1_03030,013152475v1_03345,013152475v1_03586,013152475v1_05005,013152475v1_01204,013152475v1_01122,013152475v1_02139,013152475v1_00543,013152475v1_01115,013152475v1_02138,013152475v1_00839,013152475v1_03428							013152475v1_03055	013152475v1_03825,013152475v1_03634,013152475v1_00772,013152475v1_03894																		013152475v1_03576	013152475v1_03577	013152475v1_02156,013152475v1_03578	013152475v1_03579,013152475v1_02157	013152475v1_02158,013152475v1_03580	013152475v1_03822,013152475v1_03291,013152475v1_02811	013152475v1_03823,013152475v1_04761	013152475v1_01287,013152475v1_03821	013152475v1_01286,013152475v1_00620,013152475v1_03820	013152475v1_04759	013152475v1_03824,013152475v1_04760	013152475v1_02024	013152475v1_04661	013152475v1_02025,013152475v1_02026	013152475v1_04659	013152475v1_04657	013152475v1_04660	013152475v1_04656	013152475v1_04658
GCA_016872875.1		016872875v1_03415				016872875v1_04588	016872875v1_04587			016872875v1_04142	016872875v1_04143	016872875v1_02159								016872875v1_03451	016872875v1_05442	016872875v1_05441		016872875v1_03532			016872875v1_03484			016872875v1_06563,016872875v1_01254	016872875v1_01122	016872875v1_06966				016872875v1_06800	016872875v1_06659,016872875v1_01113	016872875v1_02282,016872875v1_01390,016872875v1_03413,016872875v1_04162,016872875v1_00003,016872875v1_05327							016872875v1_01955,016872875v1_01956																			016872875v1_02021	016872875v1_02022				016872875v1_05975	016872875v1_04469	016872875v1_05976	016872875v1_05977	016872875v1_05211	016872875v1_04468								
GCA_016872855.1		016872855v1_04168			016872855v1_01419															016872855v1_04614	016872855v1_04612	016872855v1_04613		016872855v1_04373	016872855v1_05118,016872855v1_06341						016872855v1_03663,016872855v1_02663	016872855v1_02735				016872855v1_06273	016872855v1_03032	016872855v1_06879,016872855v1_05400,016872855v1_02740,016872855v1_02973,016872855v1_00057,016872855v1_02647,016872855v1_05092,016872855v1_01012,016872855v1_03709,016872855v1_03534,016872855v1_01503,016872855v1_00235,016872855v1_00080	016872855v1_05733	016872855v1_05734	016872855v1_05735	016872855v1_05736	016872855v1_05737	016872855v1_05739	016872855v1_02404				016872855v1_03314		016872855v1_03316													016872855v1_01800	016872855v1_01799	016872855v1_01798	016872855v1_01797	016872855v1_01796	016872855v1_01710	016872855v1_02632	016872855v1_01709	016872855v1_01708		016872855v1_02633								
GCA_007127285.1																									007127285v1_00621	007127285v1_00763	007127285v1_01472											007127285v1_00746,007127285v1_02069,007127285v1_00049	007127285v1_00505	007127285v1_00504	007127285v1_00503																													007127285v1_00375		007127285v1_00134	007127285v1_00373	007127285v1_00374								
GCA_003559755.1																									003559755v1_01610	003559755v1_01475												003559755v1_01225,003559755v1_00776,003559755v1_02146,003559755v1_00462	003559755v1_01457	003559755v1_01458	003559755v1_01459																												003559755v1_00846	003559755v1_00439	003559755v1_00847	003559755v1_00848	003559755v1_00437	003559755v1_00438								
GCA_003553185.1																									003553185v1_02207,003553185v1_00567	003553185v1_02569	003553185v1_00144											003553185v1_00064,003553185v1_01381,003553185v1_00285,003553185v1_02511	003553185v1_00699	003553185v1_00698	003553185v1_00697	003553185v1_00696	003553185v1_00695	003553185v1_00693																									003553185v1_00533	003553185v1_00432	003553185v1_00534	003553185v1_00535	003553185v1_00434	003553185v1_00433								
GCA_013202185.1																		013202185v1_03108	013202185v1_03104	013202185v1_03103,013202185v1_02095	013202185v1_03100,013202185v1_02092	013202185v1_02094,013202185v1_03102			013202185v1_02400		013202185v1_03463			013202185v1_02191	013202185v1_00853	013202185v1_03630	013202185v1_02231				013202185v1_00855	013202185v1_00856,013202185v1_00075,013202185v1_01571	013202185v1_01285		013202185v1_01336	013202185v1_01335,013202185v1_01286		013202185v1_02500					013202185v1_01288		013202185v1_01290												013202185v1_00825	013202185v1_00824	013202185v1_00823	013202185v1_00822	013202185v1_00821	013202185v1_00820		013202185v1_01680		013202185v1_02724	013202185v1_01678	013202185v1_01679								
GCA_007131925.1																									007131925v1_00348											007131925v1_01819,007131925v1_01820	007131925v1_00328	007131925v1_00113,007131925v1_01407,007131925v1_01223								007131925v1_01839,007131925v1_01212																	007131925v1_01980	007131925v1_01851	007131925v1_01850	007131925v1_01849	007131925v1_01848	007131925v1_01847	007131925v1_02019	007131925v1_01008	007131925v1_02018	007131925v1_02017	007131925v1_01006	007131925v1_01007	007131925v1_01725	007131925v1_02043	007131925v1_01726,007131925v1_01727	007131925v1_02045		007131925v1_02044	007131925v1_02048	007131925v1_02046
GCA_016200125.1												016200125v1_02408,016200125v1_01677		016200125v1_02416	016200125v1_02415	016200125v1_02413	016200125v1_00677						016200125v1_03483	016200125v1_04306,016200125v1_01843								016200125v1_01773	016200125v1_04332,016200125v1_01841	016200125v1_00786	016200125v1_00785,016200125v1_02166			016200125v1_01335,016200125v1_01278									016200125v1_03879	016200125v1_02279,016200125v1_03880	016200125v1_03881	016200125v1_02278,016200125v1_02858	016200125v1_02861	016200125v1_02862,016200125v1_00989	016200125v1_02863	016200125v1_02864,016200125v1_00960	016200125v1_00961,016200125v1_02865	016200125v1_02866,016200125v1_00962	016200125v1_02867,016200125v1_00963																		016200125v1_02342	016200125v1_02345,016200125v1_02344	016200125v1_02343			016200125v1_02346		
GCA_013290135.1														013290135v1_01094									013290135v1_02606,013290135v1_01823											013290135v1_00352	013290135v1_00353			013290135v1_00605,013290135v1_00262							013290135v1_02373			013290135v1_01574,013290135v1_01307	013290135v1_01573	013290135v1_01572,013290135v1_01473	013290135v1_00610		013290135v1_00611	013290135v1_00612	013290135v1_00613																				013290135v1_00199		013290135v1_00200		013290135v1_01806		013290135v1_01808	
GCA_003817095.1												003817095v1_00383	003817095v1_00835			003817095v1_01738								003817095v1_02980,003817095v1_02711,003817095v1_03599					003817095v1_03024,003817095v1_03062		003817095v1_01542	003817095v1_03052,003817095v1_00041	003817095v1_02361		003817095v1_03619,003817095v1_03347,003817095v1_01583			003817095v1_02088									003817095v1_00187			003817095v1_02936	003817095v1_02770,003817095v1_02403	003817095v1_02769,003817095v1_02404		003817095v1_00036	003817095v1_00037,003817095v1_00038	003817095v1_01168	003817095v1_01167																		003817095v1_03059			003817095v1_03247				003817095v1_03248
GCA_016209705.1						016209705v1_02872	016209705v1_02874									016209705v1_00005							016209705v1_01364	016209705v1_03662,016209705v1_00391							016209705v1_00893,016209705v1_00750	016209705v1_00999,016209705v1_02197	016209705v1_02198,016209705v1_01660	016209705v1_00147	016209705v1_00146,016209705v1_00364			016209705v1_01043,016209705v1_00939		016209705v1_00779	016209705v1_00778	016209705v1_00776,016209705v1_00774,016209705v1_00777	016209705v1_00783	016209705v1_00781			016209705v1_00845,016209705v1_01214	016209705v1_01225,016209705v1_01213	016209705v1_00846,016209705v1_01212	016209705v1_01224,016209705v1_01211,016209705v1_00512	016209705v1_00847,016209705v1_01208	016209705v1_01207,016209705v1_00956,016209705v1_00957	016209705v1_01206,016209705v1_00848	016209705v1_01205,016209705v1_00849	016209705v1_01204,016209705v1_01559	016209705v1_01203,016209705v1_01560	016209705v1_01202,016209705v1_01561																		016209705v1_03687	016209705v1_03690,016209705v1_03689	016209705v1_03688	016209705v1_03692		016209705v1_03691	016209705v1_01881	016209705v1_03693
GCA_016190155.1					016190155v1_01502	016190155v1_00174					016190155v1_03304												016190155v1_03691								016190155v1_02922,016190155v1_03626,016190155v1_01559		016190155v1_03016,016190155v1_03189	016190155v1_03495	016190155v1_03305,016190155v1_03326,016190155v1_00588			016190155v1_03711,016190155v1_03255,016190155v1_03360									016190155v1_01835	016190155v1_01834,016190155v1_02938	016190155v1_03646,016190155v1_01833	016190155v1_02937,016190155v1_01832	016190155v1_03456,016190155v1_01829,016190155v1_03645	016190155v1_03457,016190155v1_00774,016190155v1_01827,016190155v1_00775	016190155v1_01826,016190155v1_03458,016190155v1_03644	016190155v1_03643,016190155v1_03459,016190155v1_01825	016190155v1_03460,016190155v1_01048	016190155v1_01049,016190155v1_03461	016190155v1_01050,016190155v1_03462																			016190155v1_02284		016190155v1_02282	016190155v1_01188	016190155v1_02283	016190155v1_01190	
GCA_016206485.1										016206485v1_02489	016206485v1_02490,016206485v1_02468																						016206485v1_01895	016206485v1_00686,016206485v1_02438	016206485v1_00685,016206485v1_01370,016206485v1_02471		016206485v1_00469	016206485v1_00311,016206485v1_02272,016206485v1_01425,016206485v1_00528							016206485v1_00313		016206485v1_02728,016206485v1_00859	016206485v1_02387,016206485v1_02386	016206485v1_02729,016206485v1_01079	016206485v1_02727,016206485v1_01091	016206485v1_02730,016206485v1_02849	016206485v1_01378,016206485v1_02848	016206485v1_02731,016206485v1_01309	016206485v1_02732,016206485v1_01308	016206485v1_02733,016206485v1_01188	016206485v1_02734,016206485v1_01187	016206485v1_02735,016206485v1_01186																016206485v1_01379		016206485v1_01717	016206485v1_01715	016206485v1_01716	016206485v1_00542	016206485v1_00195	016206485v1_01714	016206485v1_00196	016206485v1_00541
GCA_001828445.1						001828445v1_01440																	001828445v1_00287								001828445v1_01111		001828445v1_01280	001828445v1_00097	001828445v1_00098,001828445v1_00316	001828445v1_00293	001828445v1_00425	001828445v1_00423,001828445v1_01480,001828445v1_01411,001828445v1_00052,001828445v1_01203									001828445v1_00002	001828445v1_01120		001828445v1_01121		001828445v1_01472,001828445v1_00635,001828445v1_00634	001828445v1_01473	001828445v1_01474	001828445v1_01475	001828445v1_01476,001828445v1_00075	001828445v1_01477,001828445v1_00078																		001828445v1_01011	001828445v1_01013	001828445v1_01012	001828445v1_01015		001828445v1_01014	001828445v1_01025	001828445v1_01018
GCA_016220045.1					016220045v1_00364	016220045v1_01779	016220045v1_01777			016220045v1_01090										016220045v1_00120,016220045v1_00326	016220045v1_00329	016220045v1_00327	016220045v1_03029,016220045v1_03453									016220045v1_00451	016220045v1_00184,016220045v1_00990	016220045v1_02273	016220045v1_02274,016220045v1_00768	016220045v1_01781	016220045v1_01764	016220045v1_01765,016220045v1_01295,016220045v1_01213,016220045v1_01631,016220045v1_03610,016220045v1_01500							016220045v1_03986,016220045v1_02575		016220045v1_03372	016220045v1_03371	016220045v1_03370	016220045v1_03369,016220045v1_02802,016220045v1_01680	016220045v1_00765	016220045v1_00764	016220045v1_00763	016220045v1_00762	016220045v1_01728	016220045v1_01727	016220045v1_01726															016220045v1_02236			016220045v1_00853	016220045v1_00856	016220045v1_00854	016220045v1_00859		016220045v1_00858	016220045v1_00862	016220045v1_00860
GCA_016192525.1					016192525v1_00712	016192525v1_01535,016192525v1_01544	016192525v1_01537				016192525v1_00519																016192525v1_03368				016192525v1_00526,016192525v1_03031	016192525v1_02428,016192525v1_03165	016192525v1_02435	016192525v1_01552,016192525v1_01124	016192525v1_01125,016192525v1_01553		016192525v1_01662	016192525v1_00564,016192525v1_00763,016192525v1_01566,016192525v1_03398								016192525v1_01555	016192525v1_01342,016192525v1_01901	016192525v1_01902	016192525v1_01343,016192525v1_01903	016192525v1_02862,016192525v1_01904,016192525v1_00613	016192525v1_01344,016192525v1_01907	016192525v1_01908,016192525v1_02860	016192525v1_01345,016192525v1_01909	016192525v1_01346,016192525v1_01910	016192525v1_01911,016192525v1_01347	016192525v1_01912,016192525v1_01348	016192525v1_01913,016192525v1_01349																016192525v1_00244									
GCA_016206515.1						016206515v1_00358												016206515v1_01306	016206515v1_01214												016206515v1_01119,016206515v1_00829	016206515v1_02294	016206515v1_01275				016206515v1_01920	016206515v1_01844,016206515v1_01848,016206515v1_02169,016206515v1_01261,016206515v1_01266,016206515v1_01264,016206515v1_01921,016206515v1_01631,016206515v1_01066,016206515v1_01629				016206515v1_02075,016206515v1_02073			016206515v1_00563		016206515v1_01988	016206515v1_00102	016206515v1_00101	016206515v1_00103	016206515v1_00104	016206515v1_00105	016206515v1_02077	016206515v1_02076	016206515v1_01635,016206515v1_00040,016206515v1_02326	016206515v1_01636,016206515v1_02325,016206515v1_00041	016206515v1_01637																016206515v1_02081		016206515v1_00888	016206515v1_00890		016206515v1_02133		016206515v1_02134		
GCA_005239795.1																		005239795v1_00716	005239795v1_01556				005239795v1_01985,005239795v1_02049								005239795v1_01692		005239795v1_01938	005239795v1_01714	005239795v1_01715			005239795v1_01321,005239795v1_00309,005239795v1_00830,005239795v1_00836,005239795v1_00930,005239795v1_00929,005239795v1_02084,005239795v1_00831,005239795v1_00482,005239795v1_01643,005239795v1_01883,005239795v1_00973									005239795v1_01258,005239795v1_00222	005239795v1_00006,005239795v1_00223	005239795v1_00224	005239795v1_00225	005239795v1_00841,005239795v1_00256	005239795v1_00842,005239795v1_01472	005239795v1_01776,005239795v1_01473	005239795v1_01474,005239795v1_01777	005239795v1_01475	005239795v1_01476,005239795v1_00940	005239795v1_01477,005239795v1_00941																		005239795v1_01035	005239795v1_01037		005239795v1_01039	005239795v1_01041	005239795v1_01038	005239795v1_01042	005239795v1_01040
GCA_016209495.1					016209495v1_02329	016209495v1_00029														016209495v1_00550	016209495v1_00547	016209495v1_00549	016209495v1_03028				016209495v1_01408				016209495v1_03166		016209495v1_03194	016209495v1_00197	016209495v1_00196			016209495v1_00304,016209495v1_03252,016209495v1_02436,016209495v1_00836,016209495v1_00838,016209495v1_03275									016209495v1_02443,016209495v1_02379	016209495v1_00715,016209495v1_02444	016209495v1_02445	016209495v1_02446,016209495v1_02852	016209495v1_02856,016209495v1_00175	016209495v1_00714,016209495v1_00176	016209495v1_00177,016209495v1_02857	016209495v1_00178,016209495v1_02858	016209495v1_02859,016209495v1_01575	016209495v1_02860,016209495v1_01576	016209495v1_01577																016209495v1_00712		016209495v1_02222	016209495v1_02224	016209495v1_02223	016209495v1_02226	016209495v1_02792	016209495v1_02225	016209495v1_02791	016209495v1_02227
GCA_903870125.1										903870125v1_01320	903870125v1_01319	903870125v1_03017,903870125v1_01128			903870125v1_02367								903870125v1_00458,903870125v1_02969	903870125v1_02631									903870125v1_03060,903870125v1_01482					903870125v1_01768,903870125v1_01317									903870125v1_02376	903870125v1_02377	903870125v1_02378	903870125v1_02379	903870125v1_02383	903870125v1_02384	903870125v1_02385	903870125v1_02386	903870125v1_02387	903870125v1_02388	903870125v1_02389																		903870125v1_00926	903870125v1_00928		903870125v1_00930		903870125v1_00929	903870125v1_00933	903870125v1_00931
GCA_003482625.1										003482625v1_00310	003482625v1_00311	003482625v1_01788,003482625v1_01047								003482625v1_02182	003482625v1_02185	003482625v1_02183											003482625v1_01158,003482625v1_00303					003482625v1_00673									003482625v1_03069,003482625v1_01971	003482625v1_01970,003482625v1_03068	003482625v1_03067	003482625v1_01226,003482625v1_03065	003482625v1_01225,003482625v1_00619	003482625v1_00618,003482625v1_01224	003482625v1_00617,003482625v1_01223	003482625v1_00616,003482625v1_01222	003482625v1_00615,003482625v1_01221	003482625v1_01219,003482625v1_01708,003482625v1_01220	003482625v1_01218,003482625v1_01707																					003482625v1_02860			003482625v1_01558	003482625v1_02861
GCA_014193115.1												014193115v1_02943,014193115v1_01298		014193115v1_02628	014193115v1_02629	014193115v1_00509							014193115v1_02337	014193115v1_00200				014193115v1_02324					014193115v1_01687,014193115v1_01060														014193115v1_01914	014193115v1_01913	014193115v1_01912		014193115v1_01907	014193115v1_01906	014193115v1_01905	014193115v1_01904	014193115v1_01903	014193115v1_01902	014193115v1_01901		014193115v1_01453																014193115v1_00460	014193115v1_00458	014193115v1_00459	014193115v1_00456	014193115v1_00453	014193115v1_00457	014193115v1_00452	014193115v1_00455
GCA_013821615.1												013821615v1_01665		013821615v1_00410	013821615v1_00411		013821615v1_03295							013821615v1_01738																							013821615v1_02244	013821615v1_02245		013821615v1_00120	013821615v1_00125	013821615v1_00124		013821615v1_01848																					013821615v1_02537,013821615v1_02425	013821615v1_02539,013821615v1_02423	013821615v1_02538,013821615v1_02424	013821615v1_02421	013821615v1_02533	013821615v1_02422	013821615v1_02417	013821615v1_02420,013821615v1_01992
GCA_003136555.1			003136555v1_02988									003136555v1_02954											003136555v1_02016,003136555v1_01220	003136555v1_00948,003136555v1_03990				003136555v1_01218					003136555v1_02423,003136555v1_00784					003136555v1_02085									003136555v1_01432	003136555v1_01431	003136555v1_01430		003136555v1_01425	003136555v1_01424	003136555v1_01423	003136555v1_01422	003136555v1_01421	003136555v1_01420	003136555v1_01419																		003136555v1_02028,003136555v1_02206	003136555v1_02026,003136555v1_02204	003136555v1_02205	003136555v1_02203,003136555v1_02024,003136555v1_02023	003136555v1_02210,003136555v1_02211,003136555v1_02479	003136555v1_02025		003136555v1_02022,003136555v1_02202
GCA_013816415.1												013816415v1_02363		013816415v1_00943	013816415v1_00944																		013816415v1_00104												013816415v1_01618		013816415v1_03058	013816415v1_03057	013816415v1_03056	013816415v1_03055	013816415v1_01327	013816415v1_01328	013816415v1_01329	013816415v1_01330	013816415v1_01331		013816415v1_01541																		013816415v1_02893							
GCA_013696105.1												013696105v1_01047,013696105v1_00906																					013696105v1_03298												013696105v1_01849		013696105v1_00740	013696105v1_00739	013696105v1_00738	013696105v1_00737	013696105v1_00733	013696105v1_00732	013696105v1_00731	013696105v1_00730	013696105v1_00729	013696105v1_00728	013696105v1_00727																		013696105v1_00986	013696105v1_00988	013696105v1_00987	013696105v1_00995		013696105v1_00989	013696105v1_00998	013696105v1_00996
GCA_013821365.1												013821365v1_02184		013821365v1_02723	013821365v1_02722		013821365v1_02721							013821365v1_00343									013821365v1_00731,013821365v1_00402														013821365v1_00590	013821365v1_00589	013821365v1_00588		013821365v1_02559	013821365v1_02560		013821365v1_01700			013821365v1_00480																		013821365v1_00169	013821365v1_00167	013821365v1_00168	013821365v1_00165		013821365v1_00166	013821365v1_00161	013821365v1_00164
GCA_013816645.1												013816645v1_01915,013816645v1_02012																					013816645v1_02422														013816645v1_02166	013816645v1_02167	013816645v1_02168	013816645v1_02169	013816645v1_03367	013816645v1_03368	013816645v1_03369	013816645v1_03370	013816645v1_03371	013816645v1_03372	013816645v1_03373																		013816645v1_01388	013816645v1_00060	013816645v1_00061	013816645v1_00058		013816645v1_00059	013816645v1_00055	013816645v1_00057
GCA_007693455.1												007693455v1_02526,007693455v1_00823								007693455v1_01383	007693455v1_01386	007693455v1_01384	007693455v1_00973,007693455v1_02603									007693455v1_01754	007693455v1_00768,007693455v1_02860					007693455v1_01440	007693455v1_02811	007693455v1_02812	007693455v1_02813	007693455v1_02814	007693455v1_02815	007693455v1_02817			007693455v1_00478	007693455v1_00479			007693455v1_00484	007693455v1_00485	007693455v1_00486	007693455v1_00487	007693455v1_00488	007693455v1_00489	007693455v1_00490																		007693455v1_01075	007693455v1_01077	007693455v1_01076	007693455v1_01079	007693455v1_01081	007693455v1_01078	007693455v1_01082	007693455v1_01080
GCA_013214585.1												013214585v1_02279,013214585v1_00740			013214585v1_02579		013214585v1_02537						013214585v1_02224	013214585v1_01235,013214585v1_00822									013214585v1_00132							013214585v1_00500	013214585v1_00501	013214585v1_00503,013214585v1_00502					013214585v1_02841,013214585v1_02100	013214585v1_02840,013214585v1_02101	013214585v1_02102	013214585v1_02839	013214585v1_02838,013214585v1_01257	013214585v1_01258	013214585v1_01259	013214585v1_01260		013214585v1_00629	013214585v1_00628																					013214585v1_00801		013214585v1_00800		013214585v1_00802
GCA_015231495.1																				015231495v1_00987											015231495v1_01160		015231495v1_02302					015231495v1_01569,015231495v1_00750,015231495v1_00666									015231495v1_01243	015231495v1_01242	015231495v1_01241	015231495v1_01240			015231495v1_02770	015231495v1_02771			015231495v1_00275,015231495v1_00276						015231495v1_01609	015231495v1_02515	015231495v1_02514	015231495v1_02513	015231495v1_02512	015231495v1_02775							015231495v1_00922,015231495v1_00615	015231495v1_00613,015231495v1_00924	015231495v1_00614,015231495v1_00923	015231495v1_00926,015231495v1_00091	015231495v1_00928,015231495v1_02886	015231495v1_00925	015231495v1_00929	015231495v1_00927,015231495v1_00090
GCA_016936955.1												016936955v1_01675,016936955v1_02669						016936955v1_01214		016936955v1_01325	016936955v1_01322	016936955v1_01324			016936955v1_01990	016936955v1_01599						016936955v1_02513	016936955v1_02914			016936955v1_02514	016936955v1_02515	016936955v1_02043,016936955v1_01634,016936955v1_03315,016936955v1_00696,016936955v1_02868,016936955v1_02848																										016936955v1_02104	016936955v1_02105	016936955v1_02106	016936955v1_02107	016936955v1_02108	016936955v1_02277						016936955v1_02723		016936955v1_02722,016936955v1_02721					
GCA_009778045.1												009778045v1_00368																										009778045v1_00899																															009778045v1_00262	009778045v1_00445	009778045v1_00449	009778045v1_00448	009778045v1_00447	009778045v1_00446	009778045v1_01183		009778045v1_01184,009778045v1_01185	009778045v1_01921	009778045v1_00728	009778045v1_01922	009778045v1_01668	009778045v1_00729
GCA_017959045.1																																						017959045v1_00702																															017959045v1_00212	017959045v1_02243	017959045v1_01083		017959045v1_01340,017959045v1_01610	017959045v1_00190	017959045v1_02461		017959045v1_02462,017959045v1_01175	017959045v1_02150,017959045v1_02151	017959045v1_01836	017959045v1_02149	017959045v1_01835	017959045v1_01838
GCA_011375385.1																																						011375385v1_00929	011375385v1_00333	011375385v1_00332	011375385v1_00331	011375385v1_00334,011375385v1_00668	011375385v1_00669	011375385v1_00671	011375385v1_01460				011375385v1_00336		011375385v1_00338																		011375385v1_00852	011375385v1_01422	011375385v1_00853											
GCA_016930595.1																									016930595v1_00818								016930595v1_01408				016930595v1_00958	016930595v1_00892,016930595v1_01761,016930595v1_00217				016930595v1_00766,016930595v1_00762																											016930595v1_02754	016930595v1_02749	016930595v1_02753	016930595v1_02752	016930595v1_02751	016930595v1_02750	016930595v1_02024	016930595v1_02441	016930595v1_02025,016930595v1_02442	016930595v1_02439	016930595v1_02437	016930595v1_02440	016930595v1_02436	016930595v1_02438
GCA_011329145.1			011329145v1_01208							011329145v1_03294	011329145v1_03295	011329145v1_03468		011329145v1_01318						011329145v1_03694	011329145v1_04371		011329145v1_01433					011329145v1_04094	011329145v1_04093		011329145v1_01036		011329145v1_00244			011329145v1_02258,011329145v1_04199	011329145v1_00032	011329145v1_02987,011329145v1_01838,011329145v1_00163,011329145v1_00314,011329145v1_00348					011329145v1_04529	011329145v1_04527		011329145v1_02539	011329145v1_00223	011329145v1_00224	011329145v1_00225	011329145v1_00226,011329145v1_01194	011329145v1_00230	011329145v1_00231	011329145v1_00232	011329145v1_00233	011329145v1_00234	011329145v1_00235	011329145v1_00236														011329145v1_03552				011329145v1_00085	011329145v1_00083		011329145v1_00081		011329145v1_00082	011329145v1_00078	011329145v1_00080
GCA_011087795.1												011087795v1_01201												011087795v1_04619,011087795v1_02058,011087795v1_01145,011087795v1_04459,011087795v1_02945,011087795v1_04323,011087795v1_04131								011087795v1_00124,011087795v1_02870	011087795v1_02784,011087795v1_00951																								011087795v1_00302						011087795v1_01780	011087795v1_01781	011087795v1_01782	011087795v1_01783	011087795v1_01784	011087795v1_01785							011087795v1_03133	011087795v1_03135	011087795v1_03134	011087795v1_03137	011087795v1_04144	011087795v1_03136	011087795v1_04145	
GCA_002168935.1												002168935v1_00194,002168935v1_01057,002168935v1_01055												002168935v1_02498,002168935v1_02765								002168935v1_01579,002168935v1_01021						002168935v1_01694,002168935v1_01693,002168935v1_01696,002168935v1_00325,002168935v1_01943																																					002168935v1_00712	002168935v1_00710	002168935v1_00711	002168935v1_00708	002168935v1_00706	002168935v1_00709	002168935v1_00705	002168935v1_00707
GCA_002690925.1												002690925v1_00239,002690925v1_01790,002690925v1_01788												002690925v1_05236,002690925v1_05863,002690925v1_02588,002690925v1_03646,002690925v1_01761,002690925v1_02695,002690925v1_05310								002690925v1_03060,002690925v1_01719	002690925v1_05394,002690925v1_00205					002690925v1_05161,002690925v1_02929																									002690925v1_01836	002690925v1_01837	002690925v1_01838	002690925v1_01839	002690925v1_04071	002690925v1_04070							002690925v1_01172	002690925v1_01170	002690925v1_01171	002690925v1_01168	002690925v1_01166	002690925v1_01169	002690925v1_01165	002690925v1_05526,002690925v1_01167
